timestamp,mittente,mittente_interc,destinatario,destinatario_interc,durata,tipo
45886,14,S,5,N,662,V
45942,13,S,4,S,267,V
46805,15,S,12,S,49,V
47312,13,S,5,N,596,V
47566,1,N,6,S,546,V
48281,6,S,11,N,0,S
48560,11,N,6,S,0,S
48844,6,S,11,N,0,S
49729,11,N,6,S,0,S
48470,15,S,9,S,0,S
49268,9,S,15,S,0,S
49710,15,S,9,S,0,S
50164,9,S,15,S,0,S
50368,15,S,9,S,0,S
50665,9,S,15,S,0,S
48172,14,S,13,S,70,V
48837,14,S,9,S,652,V
49681,15,S,7,S,0,S
49688,7,S,15,S,0,S
49492,13,S,4,S,0,S
50184,4,S,13,S,0,S
50337,13,S,4,S,0,S
50219,15,S,10,S,0,S
50447,10,S,15,S,0,S
49785,14,S,6,S,6,V
49785,6,S,11,N,389,V
49885,9,S,12,S,583,V
49886,15,S,9,S,812,V
50437,0,N,9,S,427,V
50472,14,S,8,S,663,V
50472,8,S,11,N,41,V
50642,12,S,5,N,651,V
50999,15,S,9,S,636,V
51927,13,S,3,N,452,V
52396,14,S,12,S,190,V
53216,15,S,9,S,0,S
53858,9,S,15,S,0,S
54622,15,S,9,S,0,S
53499,9,S,7,S,0,S
53516,7,S,9,S,0,S
54186,9,S,7,S,0,S
54898,7,S,9,S,0,S
55359,9,S,7,S,0,S
55736,7,S,9,S,0,S
53122,7,S,11,N,0,S
53709,11,N,7,S,0,S
53194,14,S,9,S,854,V
53837,10,S,13,S,106,V
53841,1,N,6,S,823,V
53841,6,S,11,N,79,V
53906,13,S,5,N,385,V
54346,9,S,12,S,85,V
54497,15,S,6,S,564,V
54497,6,S,11,N,303,V
54724,12,S,3,N,869,V
55151,14,S,9,S,430,V
56000,14,S,3,N,634,V
56747,15,S,2,N,247,V
57213,9,S,6,S,0,S
57676,6,S,9,S,0,S
58048,9,S,6,S,0,S
58165,6,S,9,S,0,S
58465,9,S,6,S,0,S
56892,6,S,11,N,416,V
57797,14,S,2,N,67,V
57962,13,S,3,N,831,V
58466,15,S,10,S,443,V
58921,14,S,5,N,106,V
60206,15,S,9,S,10,V
60332,10,S,7,S,551,V
60332,7,S,11,N,20,V
60352,14,S,3,N,586,V
61073,12,S,2,N,900,V
61111,1,N,7,S,598,V
61267,0,N,9,S,319,V
61412,15,S,6,S,13,V
61412,6,S,11,N,613,V
61650,14,S,12,S,711,V
62359,15,S,13,S,636,V
62866,14,S,9,S,164,V
62920,13,S,3,N,361,V
63519,12,S,3,N,786,V
63619,14,S,9,S,108,V
63974,13,S,4,S,77,V
63984,15,S,8,S,405,V
64293,8,S,11,N,0,S
64693,11,N,8,S,0,S
64697,8,S,11,N,0,S
65131,11,N,8,S,0,S
65432,8,S,11,N,0,S
65518,11,N,8,S,0,S
64948,15,S,5,N,250,V
64972,14,S,13,S,131,V
66359,14,S,3,N,363,V
66858,15,S,13,S,767,V
67253,12,S,3,N,713,V
67618,0,N,9,S,0,S
68405,9,S,0,N,0,S
68651,0,N,9,S,0,S
68810,9,S,0,N,0,S
69295,0,N,9,S,0,S
68474,14,S,8,S,0,S
68574,8,S,14,S,0,S
68904,14,S,8,S,0,S
69717,8,S,14,S,0,S
69795,14,S,8,S,0,S
70568,8,S,14,S,0,S
67642,8,S,11,N,314,V
68124,12,S,4,S,67,V
68125,14,S,9,S,852,V
68576,9,S,12,S,813,V
68809,15,S,10,S,149,V
69306,12,S,2,N,685,V
69718,14,S,13,S,71,V
70650,15,S,8,S,449,V
70650,8,S,11,N,639,V
71068,14,S,10,S,462,V
71609,10,S,7,S,651,V
71609,7,S,11,N,574,V
71698,1,N,9,S,32,V
72408,12,S,4,S,0,S
72544,4,S,12,S,0,S
72816,12,S,4,S,0,S
72215,0,N,9,S,433,V
72226,15,S,6,S,815,V
72226,6,S,11,N,193,V
73173,14,S,12,S,211,V
74314,14,S,8,S,0,S
75142,8,S,14,S,0,S
75883,14,S,8,S,0,S
76050,8,S,14,S,0,S
76143,14,S,8,S,0,S
76470,8,S,14,S,0,S
73558,8,S,11,N,0,S
73601,11,N,8,S,0,S
73913,8,S,11,N,0,S
74062,10,S,7,S,212,V
74062,7,S,11,N,235,V
74236,15,S,13,S,726,V
75039,12,S,2,N,455,V
75093,1,N,10,S,742,V
75235,14,S,6,S,717,V
75235,6,S,11,N,691,V
75554,15,S,10,S,752,V
76281,0,N,8,S,636,V
76281,8,S,11,N,616,V
76822,15,S,10,S,455,V
76933,9,S,6,S,444,V
76933,6,S,11,N,446,V
77458,14,S,2,N,395,V
77737,15,S,13,S,573,V
77901,13,S,3,N,667,V
78333,12,S,2,N,25,V
78421,14,S,12,S,279,V
79039,9,S,8,S,736,V
79039,8,S,11,N,75,V
79816,15,S,5,N,549,V
80272,14,S,3,N,605,V
80708,13,S,2,N,747,V
81082,14,S,6,S,157,V
81082,6,S,11,N,276,V
81869,15,S,12,S,380,V
82475,15,S,10,S,815,V
82749,1,N,7,S,325,V
82749,7,S,11,N,866,V
82800,14,S,6,S,290,V
82800,6,S,11,N,186,V
83663,14,S,12,S,681,V
84387,15,S,10,S,364,V
84543,13,S,3,N,18,V
84695,14,S,12,S,791,V
85463,15,S,6,S,339,V
85463,6,S,11,N,451,V
86038,15,S,3,N,477,V
86436,14,S,13,S,259,V
87011,14,S,2,N,574,V
87758,1,N,7,S,569,V
87881,15,S,3,N,518,V
88726,14,S,9,S,466,V
89153,12,S,3,N,896,V
89999,15,S,3,N,321,V
90457,14,S,7,S,103,V
90457,7,S,11,N,804,V
90880,1,N,7,S,753,V
90880,7,S,11,N,823,V
91770,14,S,8,S,79,V
91770,8,S,11,N,234,V
91798,13,S,4,S,426,V
92040,12,S,2,N,562,V
92115,15,S,10,S,433,V
93196,9,S,8,S,0,S
93492,8,S,9,S,0,S
93758,9,S,8,S,0,S
94271,8,S,9,S,0,S
94775,9,S,8,S,0,S
95122,8,S,9,S,0,S
93017,14,S,10,S,670,V
93715,12,S,5,N,758,V
93843,10,S,6,S,32,V
93843,6,S,11,N,885,V
93941,13,S,5,N,683,V
94340,15,S,7,S,505,V
94340,7,S,11,N,796,V
94442,14,S,10,S,704,V
95814,14,S,9,S,163,V
96077,0,N,10,S,604,V
96495,15,S,5,N,320,V
97272,15,S,7,S,674,V
97272,7,S,11,N,238,V
97480,9,S,6,S,874,V
97480,6,S,11,N,441,V
98386,14,S,10,S,0,S
98574,10,S,14,S,0,S
99245,14,S,10,S,0,S
99527,10,S,14,S,0,S
100370,14,S,10,S,0,S
101079,10,S,14,S,0,S
98323,14,S,8,S,352,V
98323,8,S,11,N,137,V
99144,13,S,2,N,0,S
99271,2,N,13,S,0,S
98653,15,S,12,S,129,V
98822,1,N,7,S,593,V
99615,7,S,11,N,0,S
100093,11,N,7,S,0,S
100793,7,S,11,N,0,S
99716,15,S,7,S,715,V
99716,7,S,11,N,52,V
100382,14,S,6,S,224,V
100521,10,S,13,S,63,V
100976,9,S,6,S,553,V
101012,6,S,11,N,0,S
101433,11,N,6,S,0,S
101756,6,S,11,N,0,S
101853,1,N,10,S,0,S
102688,10,S,1,N,0,S
102874,1,N,10,S,0,S
102941,10,S,1,N,0,S
101986,15,S,5,N,93,V
102330,15,S,12,S,793,V
102336,14,S,9,S,298,V
102553,12,S,4,S,732,V
104513,15,S,6,S,0,S
104627,6,S,15,S,0,S
105141,15,S,6,S,0,S
105902,6,S,15,S,0,S
106150,15,S,6,S,0,S
103623,6,S,11,N,732,V
103661,12,S,2,N,232,V
104055,15,S,3,N,457,V
104179,14,S,13,S,805,V
105255,1,N,10,S,692,V
105441,12,S,5,N,655,V
105684,14,S,12,S,350,V
106234,13,S,4,S,581,V
106244,15,S,13,S,513,V
107447,10,S,6,S,0,S
107701,6,S,10,S,0,S
108468,10,S,6,S,0,S
108754,6,S,10,S,0,S
106812,6,S,11,N,738,V
107813,14,S,6,S,0,S
108170,6,S,14,S,0,S
108827,14,S,6,S,0,S
109526,6,S,14,S,0,S
107377,6,S,11,N,833,V
107542,15,S,9,S,165,V
107769,14,S,9,S,286,V
107951,15,S,12,S,437,V
108019,9,S,7,S,699,V
108019,7,S,11,N,236,V
108230,14,S,3,N,452,V
109213,12,S,2,N,848,V
109901,14,S,10,S,441,V
110260,15,S,2,N,0,S
110395,2,N,15,S,0,S
110704,15,S,2,N,0,S
110738,2,N,15,S,0,S
111308,15,S,2,N,0,S
111336,2,N,15,S,0,S
110449,10,S,6,S,437,V
110449,6,S,11,N,147,V
110908,0,N,9,S,709,V
111466,15,S,6,S,287,V
111508,1,N,9,S,648,V
111612,14,S,3,N,386,V
111891,13,S,2,N,780,V
112269,14,S,3,N,611,V
113568,15,S,12,S,0,S
114076,12,S,15,S,0,S
114674,15,S,12,S,0,S
115506,12,S,15,S,0,S
116266,15,S,12,S,0,S
114471,14,S,12,S,884,V
114754,15,S,2,N,333,V
114801,0,N,7,S,835,V
115311,7,S,11,N,0,S
116204,11,N,7,S,0,S
116502,7,S,11,N,0,S
115005,10,S,13,S,867,V
115154,13,S,5,N,632,V
115843,9,S,12,S,0,S
116468,12,S,9,S,0,S
116520,9,S,12,S,0,S
116638,12,S,9,S,0,S
115734,14,S,12,S,861,V
116752,15,S,9,S,531,V
117073,14,S,13,S,106,V
118171,10,S,7,S,0,S
119063,7,S,10,S,0,S
118240,7,S,11,N,0,S
118588,11,N,7,S,0,S
119008,7,S,11,N,0,S
117864,15,S,10,S,169,V
118342,14,S,5,N,316,V
118782,15,S,2,N,0,S
119042,2,N,15,S,0,S
119265,15,S,2,N,0,S
119430,2,N,15,S,0,S
119095,12,S,4,S,178,V
119256,15,S,8,S,400,V
119256,8,S,11,N,47,V
119308,1,N,10,S,313,V
119497,14,S,8,S,131,V
119497,8,S,11,N,104,V
120078,12,S,4,S,420,V
120259,14,S,9,S,513,V
121169,15,S,10,S,405,V
121640,13,S,4,S,0,S
121702,4,S,13,S,0,S
121929,13,S,4,S,0,S
122723,4,S,13,S,0,S
122021,14,S,6,S,0,S
122142,6,S,14,S,0,S
122167,14,S,6,S,0,S
122757,6,S,14,S,0,S
123582,14,S,6,S,0,S
121949,6,S,11,N,102,V
122354,0,N,9,S,367,V
122953,14,S,10,S,839,V
123182,15,S,5,N,361,V
124168,15,S,5,N,893,V
125296,15,S,2,N,252,V
125316,9,S,7,S,698,V
125540,7,S,11,N,0,S
125661,11,N,7,S,0,S
126060,7,S,11,N,0,S
125482,14,S,9,S,569,V
126369,14,S,7,S,19,V
126369,7,S,11,N,342,V
126433,13,S,3,N,753,V
126657,14,S,10,S,265,V
127015,10,S,13,S,732,V
127196,15,S,5,N,254,V
127510,0,N,8,S,682,V
127510,8,S,11,N,751,V
127587,13,S,5,N,875,V
127958,12,S,4,S,465,V
128316,14,S,9,S,77,V
128599,15,S,10,S,336,V
128863,9,S,8,S,736,V
129972,13,S,2,N,0,S
130753,2,N,13,S,0,S
129461,15,S,12,S,893,V
129616,14,S,2,N,285,V
129854,1,N,7,S,123,V
129854,7,S,11,N,507,V
130183,13,S,4,S,244,V
130540,15,S,3,N,673,V
130939,14,S,3,N,334,V
131601,14,S,7,S,896,V
131601,7,S,11,N,406,V
132740,14,S,9,S,19,V
132941,15,S,13,S,639,V
133341,14,S,10,S,432,V
134428,0,N,10,S,816,V
134498,1,N,7,S,289,V
134498,7,S,11,N,822,V
135106,15,S,7,S,312,V
135106,7,S,11,N,187,V
135369,10,S,13,S,734,V
135553,14,S,10,S,576,V
135817,15,S,10,S,310,V
135829,12,S,4,S,532,V
136288,14,S,13,S,305,V
137233,14,S,2,N,247,V
137679,13,S,4,S,258,V
138126,15,S,7,S,0,S
138749,7,S,15,S,0,S
139075,15,S,7,S,0,S
139145,7,S,15,S,0,S
139732,15,S,7,S,0,S
138568,14,S,2,N,319,V
139572,10,S,13,S,0,S
139957,13,S,10,S,0,S
140038,10,S,13,S,0,S
140556,13,S,10,S,0,S
141441,10,S,13,S,0,S
142018,13,S,10,S,0,S
139017,1,N,7,S,742,V
139537,7,S,11,N,0,S
140075,11,N,7,S,0,S
139210,15,S,7,S,158,V
139210,7,S,11,N,541,V
139784,0,N,7,S,86,V
139853,14,S,10,S,568,V
140348,15,S,5,N,882,V
140378,9,S,7,S,372,V
140378,7,S,11,N,616,V
140471,13,S,3,N,490,V
141422,13,S,2,N,488,V
142127,15,S,10,S,811,V
142218,14,S,7,S,457,V
142218,7,S,11,N,126,V
142322,12,S,2,N,423,V
142423,10,S,6,S,702,V
142423,6,S,11,N,396,V
143172,0,N,8,S,780,V
143172,8,S,11,N,190,V
143932,12,S,4,S,109,V
144048,14,S,9,S,580,V
144338,1,N,10,S,584,V
144714,15,S,7,S,438,V
144714,7,S,11,N,492,V
145057,9,S,7,S,201,V
145057,7,S,11,N,303,V
145151,12,S,5,N,607,V
145457,13,S,2,N,411,V
145722,15,S,6,S,351,V
145722,6,S,11,N,73,V
145953,14,S,9,S,585,V
147030,12,S,2,N,0,S
147288,2,N,12,S,0,S
146569,0,N,7,S,733,V
146938,14,S,10,S,180,V
147438,13,S,5,N,101,V
147696,15,S,2,N,823,V
148275,12,S,4,S,56,V
148874,14,S,3,N,620,V
149758,15,S,10,S,114,V
150152,0,N,8,S,0,S
150565,8,S,0,N,0,S
151350,0,N,8,S,0,S
150063,8,S,11,N,254,V
150085,13,S,5,N,457,V
150865,12,S,3,N,169,V
150892,14,S,8,S,693,V
150892,8,S,11,N,556,V
151144,15,S,10,S,348,V
151750,14,S,13,S,892,V
152923,15,S,13,S,839,V
153031,14,S,3,N,886,V
153706,12,S,2,N,434,V
154530,15,S,8,S,793,V
154530,8,S,11,N,661,V
154604,14,S,2,N,563,V
154927,9,S,6,S,800,V
154927,6,S,11,N,249,V
155275,0,N,9,S,797,V
155672,14,S,12,S,668,V
155842,1,N,10,S,285,V
156452,15,S,6,S,279,V
156452,6,S,11,N,783,V
157097,12,S,4,S,170,V
157246,13,S,4,S,344,V
157742,14,S,6,S,829,V
157742,6,S,11,N,828,V
158157,15,S,7,S,0,S
158300,7,S,15,S,0,S
158440,15,S,7,S,0,S
158908,7,S,15,S,0,S
159242,15,S,7,S,0,S
159803,7,S,15,S,0,S
158025,7,S,11,N,111,V
158448,10,S,13,S,363,V
158900,9,S,7,S,785,V
158900,7,S,11,N,176,V
159565,14,S,10,S,604,V
159657,15,S,3,N,795,V
160822,14,S,6,S,245,V
161473,6,S,11,N,0,S
161722,11,N,6,S,0,S
162307,6,S,11,N,0,S
161114,1,N,6,S,505,V
161114,6,S,11,N,787,V
162247,14,S,3,N,0,S
162462,3,N,14,S,0,S
163193,14,S,3,N,0,S
164000,3,N,14,S,0,S
164412,14,S,3,N,0,S
165164,3,N,14,S,0,S
162412,15,S,7,S,0,S
162490,7,S,15,S,0,S
162731,15,S,7,S,0,S
161919,7,S,11,N,703,V
162331,14,S,6,S,41,V
162397,15,S,3,N,430,V
162685,0,N,8,S,624,V
162685,8,S,11,N,335,V
163472,15,S,2,N,225,V
164607,10,S,8,S,0,S
164637,8,S,10,S,0,S
163930,8,S,11,N,263,V
164004,14,S,7,S,141,V
164004,7,S,11,N,172,V
164161,15,S,6,S,302,V
164161,6,S,11,N,446,V
164188,13,S,2,N,726,V
165675,9,S,8,S,171,V
165675,8,S,11,N,631,V
165747,14,S,6,S,130,V
165799,12,S,2,N,768,V
165856,15,S,8,S,368,V
165856,8,S,11,N,248,V
166091,13,S,3,N,296,V
166324,0,N,7,S,313,V
166324,7,S,11,N,282,V
166570,14,S,8,S,738,V
167365,8,S,11,N,0,S
168141,11,N,8,S,0,S
168996,8,S,11,N,0,S
169668,11,N,8,S,0,S
170443,8,S,11,N,0,S
170518,11,N,8,S,0,S
167202,13,S,2,N,130,V
167349,15,S,9,S,377,V
167588,14,S,2,N,152,V
167859,1,N,7,S,574,V
168580,14,S,8,S,199,V
169149,8,S,11,N,0,S
170039,11,N,8,S,0,S
170085,8,S,11,N,0,S
170689,11,N,8,S,0,S
171419,8,S,11,N,0,S
171892,11,N,8,S,0,S
168608,15,S,13,S,163,V
168910,14,S,10,S,429,V
171039,15,S,3,N,0,S
171578,3,N,15,S,0,S
170564,10,S,13,S,39,V
170616,14,S,13,S,160,V
170733,12,S,3,N,784,V
170903,9,S,7,S,196,V
170967,7,S,11,N,0,S
171142,11,N,7,S,0,S
171339,7,S,11,N,0,S
171770,11,N,7,S,0,S
172490,7,S,11,N,0,S
171172,0,N,8,S,594,V
171172,8,S,11,N,331,V
171578,13,S,4,S,91,V
172360,15,S,2,N,0,S
173064,2,N,15,S,0,S
173146,15,S,2,N,0,S
173652,2,N,15,S,0,S
174328,15,S,2,N,0,S
174793,2,N,15,S,0,S
172146,13,S,4,S,665,V
172176,15,S,7,S,283,V
172405,14,S,12,S,305,V
173258,12,S,4,S,621,V
173339,14,S,5,N,836,V
174037,13,S,2,N,68,V
174127,15,S,3,N,504,V
174311,1,N,7,S,709,V
174311,7,S,11,N,623,V
174843,14,S,13,S,23,V
175288,0,N,8,S,763,V
175288,8,S,11,N,778,V
175312,14,S,6,S,75,V
175312,6,S,11,N,299,V
175832,15,S,9,S,662,V
175973,12,S,3,N,604,V
176392,14,S,7,S,785,V
176392,7,S,11,N,404,V
177321,14,S,9,S,654,V
177963,15,S,6,S,432,V
177963,6,S,11,N,408,V
178199,9,S,12,S,30,V
178269,1,N,7,S,136,V
178269,7,S,11,N,114,V
178631,14,S,12,S,405,V
179719,10,S,7,S,38,V
179719,7,S,11,N,899,V
179735,12,S,5,N,160,V
179879,14,S,7,S,737,V
179941,15,S,12,S,53,V
180685,9,S,7,S,43,V
181481,7,S,11,N,0,S
182270,11,N,7,S,0,S
182947,7,S,11,N,0,S
182955,11,N,7,S,0,S
182956,7,S,11,N,0,S
181143,15,S,6,S,795,V
181154,14,S,10,S,578,V
181660,1,N,7,S,236,V
181660,7,S,11,N,242,V
182034,10,S,13,S,475,V
182326,12,S,3,N,313,V
182530,0,N,9,S,775,V
183043,12,S,5,N,161,V
183211,14,S,3,N,246,V
183521,15,S,12,S,199,V
183986,15,S,13,S,764,V
184050,14,S,9,S,307,V
185039,14,S,10,S,19,V
185426,15,S,9,S,617,V
186156,12,S,4,S,0,S
187018,4,S,12,S,0,S
187732,12,S,4,S,0,S
187889,4,S,12,S,0,S
188304,12,S,4,S,0,S
189185,4,S,12,S,0,S
186795,14,S,13,S,571,V
188201,10,S,13,S,0,S
188751,13,S,10,S,0,S
189019,10,S,13,S,0,S
189239,13,S,10,S,0,S
189416,10,S,13,S,0,S
189988,13,S,10,S,0,S
187554,15,S,10,S,67,V
187565,1,N,6,S,35,V
188088,6,S,11,N,0,S
188640,11,N,6,S,0,S
189372,6,S,11,N,0,S
189897,11,N,6,S,0,S
187583,12,S,4,S,437,V
187972,14,S,5,N,148,V
189154,15,S,12,S,697,V
189555,14,S,5,N,537,V
189788,1,N,6,S,291,V
189788,6,S,11,N,152,V
190669,14,S,8,S,118,V
190669,8,S,11,N,381,V
190726,9,S,7,S,813,V
190726,7,S,11,N,883,V
191462,15,S,6,S,688,V
192046,6,S,11,N,0,S
192631,11,N,6,S,0,S
192633,6,S,11,N,0,S
191795,14,S,8,S,855,V
193198,15,S,5,N,0,S
193247,5,N,15,S,0,S
193417,14,S,5,N,0,S
194227,5,N,14,S,0,S
194539,14,S,5,N,0,S
195325,5,N,14,S,0,S
193217,15,S,13,S,417,V
193478,13,S,4,S,100,V
194235,14,S,7,S,779,V
194235,7,S,11,N,155,V
194529,12,S,3,N,449,V
195310,15,S,3,N,341,V
195456,10,S,13,S,353,V
195520,14,S,3,N,567,V
195752,9,S,6,S,448,V
195752,6,S,11,N,212,V
196278,0,N,10,S,409,V
196610,1,N,10,S,562,V
196693,13,S,4,S,164,V
196935,15,S,13,S,529,V
197081,14,S,3,N,510,V
197673,15,S,8,S,425,V
197673,8,S,11,N,900,V
198520,14,S,10,S,600,V
198608,12,S,2,N,467,V
198888,0,N,10,S,483,V
198996,15,S,5,N,199,V
199524,15,S,5,N,248,V
200283,14,S,12,S,0,S
200608,12,S,14,S,0,S
200691,14,S,2,N,545,V
201052,15,S,9,S,612,V
201687,14,S,3,N,615,V
201847,9,S,12,S,530,V
201874,15,S,10,S,800,V
203094,14,S,2,N,286,V
203486,15,S,12,S,218,V
204053,14,S,9,S,0,S
204356,9,S,14,S,0,S
203781,14,S,3,N,839,V
203895,15,S,9,S,581,V
204692,0,N,8,S,470,V
204692,8,S,11,N,568,V
205530,15,S,7,S,697,V
205530,7,S,11,N,154,V
206012,14,S,6,S,702,V
206370,13,S,5,N,386,V
207457,1,N,6,S,315,V
207714,15,S,13,S,458,V
208277,14,S,2,N,112,V
208680,12,S,4,S,551,V
209316,13,S,3,N,0,S
209354,3,N,13,S,0,S
210092,13,S,3,N,0,S
210235,3,N,13,S,0,S
209246,10,S,13,S,719,V
209324,15,S,3,N,305,V
209830,12,S,4,S,270,V
210012,15,S,6,S,661,V
210012,6,S,11,N,80,V
210178,14,S,13,S,488,V
210505,0,N,7,S,535,V
210505,7,S,11,N,305,V
211546,15,S,9,S,638,V
211688,14,S,3,N,203,V
211896,12,S,5,N,502,V
212785,13,S,5,N,798,V
213547,14,S,5,N,0,S
213674,5,N,14,S,0,S
